sugars_100g,fat_100g,saturated_fat_100g,salt_100g,fiber_100g,proteins_100g,energy_kcal_100g,additives_count,sugar_energy_ratio,sat_fat_ratio,salt_sugar_interaction,nutrition_risk_score,main_category,country,has_labels,image_saine,bad_nutrition
0.5,34.0,2.7,0.6,4.9,6.1,540.0,0.0,0.0009259259242112483,0.07941176237024229,0.3,9.7,plant-based-foods-and-beverages,france,1,1,0
2.3,3.5,1.0,0.905,1.9,8.1,201.0,1.0,0.011442786012722457,0.285714204081656,2.0814999999999997,12.46,plant-based-foods-and-beverages,france,1,1,0
25.0,4.8,1.6,0.27,7.6,8.0,372.0,1.0,0.0672043008946121,0.3333332638889034,6.75,25.42,plant-based-foods-and-beverages,portugal,1,1,0
3.3,0.1,0.03,0.1,0.0,2.8,28.0,3.0,0.11785713864795933,0.2999970000299997,0.33,4.61,beverages-and-beverages-preparations,belgium,1,1,0
3.3,2.8,0.3,0.1,1.9,1.1,52.0,0.0,0.06346153724112429,0.10714281887756469,0.33,3.2199999999999993,beverages-and-beverages-preparations,france,1,1,0
0.5,0.5,0.1,0.55,3.4,1.3,20.0,0.0,0.02499999875000006,0.1999996000008,0.275,2.9,plant-based-foods-and-beverages,france,1,1,0
3.5,2.7,0.4,0.62,2.5,2.0,77.0,0.0,0.04545454486422669,0.14814809327848397,2.17,8.37,plant-based-foods-and-beverages,france,1,1,0
3.7,2.0,0.4,0.0,3.6,12.0,361.0,0.0,0.010249307450832943,0.19999990000005,0.0,4.110000000000001,plant-based-foods-and-beverages,france,1,1,0
16.0,2.8,1.6,0.12,1.9,3.5,107.0,0.0,0.14953270888287187,0.5714283673470117,1.92,17.970000000000002,dairies,morocco,0,1,0
3.52941176470588,2.05882352941176,1.47058823529412,0.0808823529411765,0.0,10.0,70.5882352941177,0.0,0.04999999929166661,0.71428536734711,0.2854671280276816,6.514705882352942,dairies,united-states,1,1,0
20.0,2.6,0.5,0.4125,8.5,9.3,382.0,0.0,0.052356020805350734,0.19230761834322369,8.25,19.945,plant-based-foods-and-beverages,united-kingdom,1,1,0
20.0,0.1,0.0,1.7,1.9,1.7,120.0,0.0,0.1666666652777778,0.0,34.0,36.300000000000004,condiments,france,1,0,1
0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,-1.9,beverages-and-beverages-preparations,georgia,0,0,0
2.1,1.8,0.4,0.0,4.2,12.0,349.0,0.0,0.006017191959836126,0.2222220987655007,0.0,1.79,plant-based-foods-and-beverages,italy,0,1,0
0.0,0.5,0.1,0.01,1.6,8.2,353.0,0.0,0.0,0.1999996000008,0.0,2.13,plant-based-foods-and-beverages,germany,1,1,0
0.1,26.3,5.7,0.51,0.0,21.1,321.0,0.0,0.00031152647878029136,0.21673002978212813,0.051000000000000004,14.11,seafood,morocco,0,0,1
0.347826086956522,0.0,0.4,0.0123913043478261,2.28260869565217,3.4,369.565217391304,0.0,0.0009411764680415242,400000.00000000006,0.004310018903591691,2.2847826086956533,plant-based-foods-and-beverages,united-states,1,1,0
8.7,0.5,0.5,0.5,1.9,0.7,38.0,0.0,0.22894736239612204,0.999998000004,4.35,12.68,beverages-and-beverages-preparations,belgium,1,1,1
13.2,1.4,1.0,0.14,1.9,2.9,82.0,0.0,0.1609756077929804,0.7142852040819971,1.848,14.519999999999998,beverages-and-beverages-preparations,morocco,1,1,1
